Date : 2026-07-23 23:44:33
Directory : /Users/nemesisverstraete/Desktop/Obsidium
Total : 79 files,  2827 codes, 250 comments, 915 blanks, all 3992 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |         76 |      2,686 |        250 |        893 |      3,829 |
| CMake    |          2 |        108 |          0 |         15 |        123 |
| Slang    |          1 |         33 |          0 |          7 |         40 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                   | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                      |         79 |      2,827 |        250 |        915 |      3,992 |
| . (Files)                                                                              |          1 |         98 |          0 |         13 |        111 |
| include                                                                                |         22 |        547 |         71 |        228 |        846 |
| include (Files)                                                                        |          2 |         28 |          6 |         11 |         45 |
| include/assets                                                                         |          2 |         51 |          6 |         25 |         82 |
| include/graphics                                                                       |          6 |        154 |         19 |         64 |        237 |
| include/utils                                                                          |          1 |         21 |          3 |          6 |         30 |
| include/window                                                                         |          1 |         38 |          3 |         14 |         55 |
| include/world                                                                          |         10 |        255 |         34 |        108 |        397 |
| include/world (Files)                                                                  |          5 |         83 |         16 |         39 |        138 |
| include/world/scene                                                                    |          5 |        172 |         18 |         69 |        259 |
| sandbox                                                                                |          2 |         62 |          5 |         16 |         83 |
| src                                                                                    |         54 |      2,120 |        174 |        658 |      2,952 |
| src (Files)                                                                            |          1 |         17 |          3 |          6 |         26 |
| src/assets                                                                             |          2 |        148 |          6 |         46 |        200 |
| src/graphics                                                                           |         31 |      1,314 |        104 |        389 |      1,807 |
| src/graphics (Files)                                                                   |          5 |        107 |         15 |         48 |        170 |
| src/graphics/shader                                                                    |          3 |        155 |          6 |         38 |        199 |
| src/graphics/vulkan                                                                    |         23 |      1,052 |         83 |        303 |      1,438 |
| src/rhi                                                                                |          5 |         75 |         16 |         37 |        128 |
| src/utils                                                                              |          4 |         93 |         12 |         38 |        143 |
| src/window                                                                             |          2 |        100 |          6 |         27 |        133 |
| src/world                                                                              |          9 |        373 |         27 |        115 |        515 |
| src/world (Files)                                                                      |          5 |         94 |         15 |         31 |        140 |
| src/world/scene                                                                        |          4 |        279 |         12 |         84 |        375 |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                               | language | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /Users/nemesisverstraete/Desktop/Obsidium/CMakeLists.txt                               | CMake    |         98 |          0 |         13 |        111 |
| /Users/nemesisverstraete/Desktop/Obsidium/include/Engine.h                             | C++      |         25 |          3 |          9 |         37 |
| /Users/nemesisverstraete/Desktop/Obsidium/include/Obsidium.h                           | C++      |          3 |          3 |          2 |          8 |
| /Users/nemesisverstraete/Desktop/Obsidium/include/assets/MeshManager.h                 | C++      |         31 |          3 |         15 |         49 |
| /Users/nemesisverstraete/Desktop/Obsidium/include/assets/TextureManager.h              | C++      |         20 |          3 |         10 |         33 |
| /Users/nemesisverstraete/Desktop/Obsidium/include/graphics/Buffer.h                    | C++      |         19 |          3 |          7 |         29 |
| /Users/nemesisverstraete/Desktop/Obsidium/include/graphics/Mesh.h                      | C++      |         31 |          3 |         14 |         48 |
| /Users/nemesisverstraete/Desktop/Obsidium/include/graphics/Model.h                     | C++      |         25 |          3 |          9 |         37 |
| /Users/nemesisverstraete/Desktop/Obsidium/include/graphics/Polygon.h                   | C++      |         18 |          3 |          7 |         28 |
| /Users/nemesisverstraete/Desktop/Obsidium/include/graphics/Renderer.h                  | C++      |         29 |          4 |         15 |         48 |
| /Users/nemesisverstraete/Desktop/Obsidium/include/graphics/Texture.h                   | C++      |         32 |          3 |         12 |         47 |
| /Users/nemesisverstraete/Desktop/Obsidium/include/utils/Hash.h                         | C++      |         21 |          3 |          6 |         30 |
| /Users/nemesisverstraete/Desktop/Obsidium/include/window/Window.h                      | C++      |         38 |          3 |         14 |         55 |
| /Users/nemesisverstraete/Desktop/Obsidium/include/world/EntityComponentManager.h       | C++      |         30 |          3 |         13 |         46 |
| /Users/nemesisverstraete/Desktop/Obsidium/include/world/SparseSet.h                    | C++      |         18 |          4 |          7 |         29 |
| /Users/nemesisverstraete/Desktop/Obsidium/include/world/System.h                       | C++      |         15 |          3 |          6 |         24 |
| /Users/nemesisverstraete/Desktop/Obsidium/include/world/World.h                        | C++      |         11 |          3 |          8 |         22 |
| /Users/nemesisverstraete/Desktop/Obsidium/include/world/WorldManager.h                 | C++      |          9 |          3 |          5 |         17 |
| /Users/nemesisverstraete/Desktop/Obsidium/include/world/scene/Camera.h                 | C++      |         23 |          6 |         12 |         41 |
| /Users/nemesisverstraete/Desktop/Obsidium/include/world/scene/Components.h             | C++      |         35 |          3 |         12 |         50 |
| /Users/nemesisverstraete/Desktop/Obsidium/include/world/scene/Entity.h                 | C++      |         24 |          3 |         12 |         39 |
| /Users/nemesisverstraete/Desktop/Obsidium/include/world/scene/Scene.h                  | C++      |         67 |          3 |         21 |         91 |
